Symphony $<text> $<selection> 3.6.0 $<started_on> $<monday:u>, $<june:u> 7, 2021, 2:39 PM
$(3091)KCAT.
$(3090)
$(1232)
$(1239)
$(3093)
20210607143944 BRS/Search-Engine v.62 started for seltext1
  0 records found for #281: "5490000000080193".NM02.
  0 records found for #282: "5490000000080247".NM02.
  0 records found for #283: "5490000000080248".NM02.
  0 records found for #284: "5490000000080249".NM02.
  0 records found for #285: "5490000000080250".NM02.
  0 records found for #286: "5490000000080251".NM02.
  0 records found for #287: "5490000000080252".NM02.
  0 records found for #288: "5490000000080253".NM02.
  0 records found for #289: "5490000000080254".NM02.
  0 records found for #290: "5490000000080255".NM02.
  0 records found for #291: "5490000000080256".NM02.
  0 records found for #292: "9870000000001163".NM02.
  196 $<search> $(1308)
  96 $<search> $(1309)
Symphony $<text> $<selection> $<finished_on> $<monday:u>, $<june:u> 7, 2021, 2:39 PM
